user_id,author,title,genre,rating,url,ISBN
1,Eric Matthes,Python Crash Course,Python,10,https://files.realpython.com/media/python-crash-course-cover.56540af24538.jpg,195153448
2,Paul Barry,Head-First Python 2nd edition,Python,9,https://files.realpython.com/media/head-first-python-cover.3869ed7d3547.jpg,2005018
3,Al Sweigart,Invent Your Own Computer Games with Python,Python,6,https://files.realpython.com/media/iyocgwp-cover.4d43d42500a2.jpg,60973129
4,Allen B. Downey,Think Python: How to Think Like a Computer Scientist,Python,10,https://files.realpython.com/media/think-python-cover.a6cbd57dbde7.jpg,374157065
5,"Anthony Scopatz, Kathryn D. Huff",Effective Computation in Physics,Python,0,https://files.realpython.com/media/ecip-book-cover.7ce8078aba69.jpg,393045218
6,Zed A. Shaw,Learn Python 3 the Hard Way,Python,9,https://files.realpython.com/media/lp3thw-cover.12d9c32dede7.jpg,399135782
7,Jason R. Briggs,Python for Kids,Python,0,https://files.realpython.com/media/python-for-kids-cover.6e5bae2b7709.jpg,425176428
8,Bryson Payne,Teach Your Kids to Code,Python,0,https://files.realpython.com/media/tyctc-cover.4c9e18e01fb0.jpg,671870432
9,Dan Bader,Python Tricks,Python,0,https://files.realpython.com/media/python-tricks-book-cover.5b0f5df06d94.jpg,679425608
10,Luciano Ramalho,Fluent Python,Python,0,https://files.realpython.com/media/fluent-python-cover.f504156334d8.jpg,074322678X
11,Brett Slatkin,Effective Python,Python,0,https://files.realpython.com/media/effective-python-cover.6e060fbfa272.jpg,771074670
12,David Beazley & Brian K. Jones,Python Cookbook,Python,10,https://files.realpython.com/media/python-cookbook-cover.449eb0e173ad.jpg,080652121X
13,Stanley Lippman,C++ Primer 5th Edition,C++,7,"https://images-na.ssl-images-amazon.com/images/I/41Gd9xIXrUL._SX381_BO1,204,203,200_.jpg",887841740
14,Kyle Loudon,C++ Pocket Reference 1st Edition,C++,0,"https://images-na.ssl-images-amazon.com/images/I/4153+jtQOTL._SY344_BO1,204,203,200_.jpg",1552041778
15,Siddhartha Rao," C++ in One Hour a Day, Sams Teach Yourself 8th Edition",C++,0,"https://images-na.ssl-images-amazon.com/images/I/41okhLUZZOL._SX258_BO1,204,203,200_.jpg",1558746218
16,Jeffrey M. Cogswell,C++ All-in-One For Dummies 3rd Edition,C++,0,"https://images-na.ssl-images-amazon.com/images/I/51XuWxG6hDL._SX397_BO1,204,203,200_.jpg",1567407781
17,Herbert Schildt ,C++: The Complete Reference Fourth Edition,C++,10,"https://images-na.ssl-images-amazon.com/images/I/51Uqe5PHbML._SX258_BO1,204,203,200_.jpg",1575663937
18,Tony Gaddis ,Starting Out with C++ from Control Structures to Objects plus,C++,0,"https://images-na.ssl-images-amazon.com/images/I/4156KxJLccL._SX405_BO1,204,203,200_.jpg",1881320189
19,Stroustrup Bjarne,A Tour of C++ (C++ In-Depth Series) 1st Edition,C++,0,https://m.media-amazon.com/images/I/51gvHuJ8W0L._SX260_.jpg,440234743
20,Scott Meyers,Effective Modern C++,C++,6,"https://images-na.ssl-images-amazon.com/images/I/51qUGMia07L._SX379_BO1,204,203,200_.jpg",452264464
21,Nicolai Josuttis,"C++ Standard Library, The: A Tutorial And Reference 2Nd Edition",C++,0,"https://images-na.ssl-images-amazon.com/images/I/5108SrrM+qL._SX406_BO1,204,203,200_.jpg",609804618
22,Mike Hendrickson,Accelerated C++: Practical Programming by Example 1st Edition,C++,7,"https://images-na.ssl-images-amazon.com/images/I/519suIPxd5L._SX258_BO1,204,203,200_.jpg",1841721522
23,Scott Meyers,More Effective C++,C++,0,https://m.media-amazon.com/images/I/51-oc3ApHxL._SY346_.jpg,1879384493
24,Robert Lafore,Object-Oriented Programming In C++ 4th Edition,C++,0,"https://images-na.ssl-images-amazon.com/images/I/41lUVTg+ChL._SX357_BO1,204,203,200_.jpg",61076031
25,D. S. Malik,C++ Programming: From Problem Analysis to Program Design 3rd Edition,C++,0,"https://images-na.ssl-images-amazon.com/images/I/213EJ-USRIL._BO1,204,203,200_.jpg",439095026
26,Nathan Clark ,C++: A Detailed Approach to Practical Coding,C++,7,https://m.media-amazon.com/images/I/41sz2q4VlKL._SY346_.jpg,689821166
27,Jacek Galowicz ,C++17 STL Cookbook,C++,0,https://m.media-amazon.com/images/I/51HGIc-EJqL._SX260_.jpg,971880107
28,Hadley Wickham,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",R,6,"https://images-na.ssl-images-amazon.com/images/I/512BRANyRxS._SX331_BO1,204,203,200_.jpg",345402871
29,Tilman M. Davies,The Book of R: A First Course in Programming and Statistics,R,0,"https://images-na.ssl-images-amazon.com/images/I/51XOP1zda3L._SX376_BO1,204,203,200_.jpg",345417623
30,Andrie de Vries,R For Dummies,R,0,"https://images-na.ssl-images-amazon.com/images/I/51ERP9jmjJL._SX258_BO1,204,203,200_.jpg",684823802
31,Andy Field,Discovering Statistics Using R,R,5,"https://images-na.ssl-images-amazon.com/images/I/31GY6WuNwvL._SX365_BO1,204,203,200_.jpg",375759778
32,Norman Matloff,The Art of R Programming: A Tour of Statistical Software Design,R,0,"https://images-na.ssl-images-amazon.com/images/I/51MDIFRdpNL._SX258_BO1,204,203,200_.jpg",425163091
33,Jared P. Lander, R for Everyone: Advanced Analytics and Graphics,R,0,"https://images-na.ssl-images-amazon.com/images/I/41NxNchrvBL._SX258_BO1,204,203,200_.jpg",3404921038
34,Brett Lantz,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition",R,0,"https://images-na.ssl-images-amazon.com/images/I/51f4sFFMx3L._SX404_BO1,204,203,200_.jpg",3442353866
35,Jd Long,"R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics",R,8,"https://images-na.ssl-images-amazon.com/images/I/51YLVsva7BL._SX379_BO1,204,203,200_.jpg",3442410665
36,Dr. Rob Kabacoff,R in Action: Data Analysis and Graphics with R,R,0,"https://images-na.ssl-images-amazon.com/images/I/41y+Txk3IsL._SX258_BO1,204,203,200_.jpg",3442446937
37,Hadley Wickham,Advanced R (Chapman & Hall CRC The R Series),R,0,"https://images-na.ssl-images-amazon.com/images/I/41VCc-xmm2L._SY344_BO1,204,203,200_.jpg",375406328
38,Garrett Grolemund,Hands-On Programming with R,R,8,"https://images-na.ssl-images-amazon.com/images/I/51SZMR4JKML._SX258_BO1,204,203,200_.jpg",446310786
39,Hadley Wickham,R Packages,R,0,"https://images-na.ssl-images-amazon.com/images/I/41UGBBqFUZL._SX258_BO1,204,203,200_.jpg",449005615
40,Richard Cotton,Learning R,R,0,"https://images-na.ssl-images-amazon.com/images/I/51WR9JB71iL._SX258_BO1,204,203,200_.jpg",60168013
41,Julia Silge,Text Mining with R: A Tidy Approach,R,8,"https://images-na.ssl-images-amazon.com/images/I/51qE8dW8ZkL._SX379_BO1,204,203,200_.jpg",038078243X
42,Joseph Adler,R in a Nutshell,R,0,"https://images-na.ssl-images-amazon.com/images/I/41oWgCGmgCL._SY344_BO1,204,203,200_.jpg",055321215X
43,John Chambers,Software for Data Analysis: Programming with R,R,0,"https://images-na.ssl-images-amazon.com/images/I/31ogAjT9rkL._SX313_BO1,204,203,200_.jpg",067176537X
44,Nina Zumel,Practical Data Science with R,R,0,"https://images-na.ssl-images-amazon.com/images/I/41edNnUkpUL._SX258_BO1,204,203,200_.jpg",61099686
45,Jon Duckett,HTML and CSS: Design and Build Websites,HTML,7,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/HTML-and-CSS-Duckett-cover.jpg,553582909
46,Elisabeth Robson & Eric Freeman,Head First HTML and CSS,HTML,0,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/Head-first-HTML-and-CSS.jpg,671888587
47,Markus Zusak, A Smarter Way to Learn HTML & CSS: Learn it faster,HTML,5,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/a-smarter-way-to-learn-HTML-and-CSS-1.jpg,553582747
48,Young Rewired State,"Get Coding: Learn HTML, CSS & JavaScript",HTML,0,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/Get-coding.jpg,425182908
49,Jennifer Robins, Learning Web Design,HTML,0,https://images.gr-assets.com/books/1361039440s/49041.jpg,042518630X
50,Julie C. Meloni and Jennifer Kyrin," HTML, CSS, and JavaScript All in One",HTML,0,https://images.gr-assets.com/books/1168052448s/30119.jpg,440223571
51,Elizabeth Castro and Bruce Hyslop, HTML and CSS: Visual QuickStart Guide,HTML,10,https://images.gr-assets.com/books/1432730315s/256683.jpg,812523873
52,David Durocher, HTML and CSS QuickStart Guide,HTML,0,https://images.gr-assets.com/books/1361038355s/428263.jpg,842342702
53,Ben Frain,Responsive Web Design with HTML5 and CSS,HTML,0,https://images.gr-assets.com/books/1366212852s/113436.jpg,440225701
54,Eric A. Meyer, CSS Pocket Reference,HTML,0,https://images.gr-assets.com/books/1327656754s/11.jpg,60914068
55,Andy Harris,HTML5 and CSS3 All-in-One For Dummies,HTML,0,https://images.gr-assets.com/books/1487389574s/5129.jpg,156047624
56,Mark J. Price,C# 8 and NET Core 3,C,0,https://images.gr-assets.com/books/1361039438s/1162543.jpg,245542957
57,LCF Publishing,C#: Learn C# in One Day and Learn It Well,C,0,https://images.gr-assets.com/books/1473454532s/37435.jpg,380715899
58,Andrew Stellman,Head First C#,C,0,https://images.gr-assets.com/books/1405973850s/2956.jpg,553280333
59,Jospeh Albahari ,C# 8.0 Pocket Reference,C,0,https://images.gr-assets.com/books/1439632243s/24178.jpg,961769947
60,Anne & Murach Joel Boehm,Murach C# 2015,C,0,https://images.gr-assets.com/books/1479863624s/1618.jpg,964778319
61,Jon Skeet,C# in Depth,C,7,https://images.gr-assets.com/books/1490903702s/22557272.jpg,671623249
62,R B Whitaker,The C# Players Guide,C,9,https://images.gr-assets.com/books/1451271747s/119322.jpg,679810307
63,Harrison Ferrone ,Learning C# by Developing Games with Unity 2019,C,0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,679865691
64,Andrew Troelsen,Pro C# 7: With NET and NET Core,C,7,https://images.gr-assets.com/books/1369504683s/10917.jpg,2070423204
65,Robert Martin ,"Agile Principles, Patterns, and Practices in C#",C,0,https://images.gr-assets.com/books/1440319389s/4981.jpg,345260317
66,John Sharp ,Microsoft Visual C# Step by Step,C,7,https://images.gr-assets.com/books/1328025229s/18405.jpg,394743741
67,Joseph Albahar,C# 7 in a Nutshell: The Definitive Reference,C,0,https://images.gr-assets.com/books/1345958969s/128029.jpg,042511774X
68,Stephen Cleary,Concurrency in C# Cookbook,C,7,https://images.gr-assets.com/books/1167352178s/22628.jpg,804106304
69,Bill Wagner,Effective C# (Covers C# 6.0),C,0,https://images.gr-assets.com/books/1325667729s/11735983.jpg,1853262404
70,Ben Forta," SQL in 10 Minutes, Sams Teach Yourself",SQL,0,https://images.gr-assets.com/books/1408303130s/375802.jpg,312970242
71,Sylvia Moestl Vasilik,SQL Practice Problems,SQL,0,https://images.gr-assets.com/books/1381512375s/18490.jpg,1853260053
72,Anthony Molinaro,SQL Cookbook ,SQL,0,https://images.gr-assets.com/books/1353277730s/11588.jpg,1414035004
73,John Viescas,SQL Queries for Mere Mortals: A Hands-On Guide to Data Manipulation in SQL,SQL,0,https://images.gr-assets.com/books/1318009171s/1656001.jpg,60938412
74,Alan Beaulieu, Learning SQL: Master SQL Fundamentals,SQL,0,https://images.gr-assets.com/books/1394798630s/99561.jpg,140067477
75,James Groff,SQL: The Complete Reference,SQL,0,https://images.gr-assets.com/books/1292060045s/227443.jpg,345465083
76,Steven Feuerstein,Oracle PL/SQL Programming 6e,SQL,0,https://images.gr-assets.com/books/1397245675s/14935.jpg,451625889
77,Jonathan Gennick,SQL Pocket Guide: A Guide to SQL Usage,SQL,0,https://images.gr-assets.com/books/1327781893s/38709.jpg,1558531025
78,John Viescas,Effective SQL: 61 Specific Ways to Write Better SQL,SQL,0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,441783589
79,Bill Karwin,SQL Antipatterns: Avoiding the Pitfalls of Database Programming,SQL,7,https://images.gr-assets.com/books/1390173285s/1381.jpg,394895894
80,Allen G. Taylor,SQL For Dummies (For Dummies (Computer/Tech)),SQL,0,https://images.gr-assets.com/books/1367545443s/157993.jpg,1569871213
81,Chris Fehily, SQL Database Programming,SQL,0,https://images.gr-assets.com/books/1400930557s/7445.jpg,375410538
82,Baron Schwartz,High-Performance MySQL,SQL,0,https://images.gr-assets.com/books/1403173986s/1845.jpg,966986105
83,Stephane Faroult, The Art of SQL,SQL,0,https://images.gr-assets.com/books/1344922523s/1953.jpg,087113375X
84,Michael Crichton,MySQL,SQL,0,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,340767936
