user_id,author,title,genre,rating,url,ISBN,Unnamed: 0
170,Josh Lockhart,Modern PHP: New Features and Good Practices,SQL,9,https://m.media-amazon.com/images/I/51HGIc-EJqL._SX260_.jpg,,72
170,Stevenholz,PHP The Complete Reference,SQL,9,https://images.gr-assets.com/books/1361039438s/1162543.jpg,,108
95,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1424596966s/5297.jpg,679429220,97
95,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1424596966s/5297.jpg,679429220,168
88,John Green,MySQL MADE EASY,SQL,9,https://images.gr-assets.com/books/1349013610s/6442769.jpg,71416331,185
83,John Green,MySQL MADE EASY,SQL,9,https://images.gr-assets.com/books/1479863624s/1618.jpg,,185
82,John Green,MySQL MADE EASY,SQL,9,"https://images-na.ssl-images-amazon.com/images/I/51MDIFRdpNL._SX258_BO1,204,203,200_.jpg",,185
81,John Green,MySQL MADE EASY,SQL,9,https://files.realpython.com/media/think-python-cover.a6cbd57dbde7.jpg,,185
80,John Green,MySQL MADE EASY,SQL,9,https://images.gr-assets.com/books/1292060045s/227443.jpg,,185
79,John Green,MySQL MADE EASY,SQL,9,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/a-smarter-way-to-learn-HTML-and-CSS-1.jpg,,185
76,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1345958969s/128029.jpg,,97
76,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1345958969s/128029.jpg,,168
75,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,"https://images-na.ssl-images-amazon.com/images/I/41UGBBqFUZL._SX258_BO1,204,203,200_.jpg",,97
75,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,"https://images-na.ssl-images-amazon.com/images/I/41UGBBqFUZL._SX258_BO1,204,203,200_.jpg",,168
74,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://files.realpython.com/media/effective-python-cover.6e060fbfa272.jpg,,97
74,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://files.realpython.com/media/effective-python-cover.6e060fbfa272.jpg,,168
73,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1403173986s/1845.jpg,,97
73,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1403173986s/1845.jpg,,168
72,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1327656754s/11.jpg,,97
72,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",MongoDB: The Definitive Guide,SQL,9,https://images.gr-assets.com/books/1327656754s/11.jpg,,168
4,Josh Lockhart,Modern PHP: New Features and Good Practices,SQL,9,"https://images-na.ssl-images-amazon.com/images/I/51WR9JB71iL._SX258_BO1,204,203,200_.jpg",,72
3,Josh Lockhart,Modern PHP: New Features and Good Practices,SQL,9,https://files.realpython.com/media/python-cookbook-cover.449eb0e173ad.jpg,,72
3,Stevenholz,PHP The Complete Reference,SQL,9,"https://images-na.ssl-images-amazon.com/images/I/51qE8dW8ZkL._SX379_BO1,204,203,200_.jpg",,108
2,Josh Lockhart,Modern PHP: New Features and Good Practices,SQL,9,https://images.gr-assets.com/books/1344922523s/1953.jpg,,72
2,Stevenholz,PHP The Complete Reference,SQL,9,"https://images-na.ssl-images-amazon.com/images/I/41Gd9xIXrUL._SX381_BO1,204,203,200_.jpg",,108
1,Josh Lockhart,Modern PHP: New Features and Good Practices,SQL,9,https://images.gr-assets.com/books/1487389574s/5129.jpg,,72
1,Stevenholz,PHP The Complete Reference,SQL,9,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,108
169,Stevenholz,PHP The Complete Reference,SQL,8,"https://images-na.ssl-images-amazon.com/images/I/512BRANyRxS._SX331_BO1,204,203,200_.jpg",,108
96,Steven Feuerstein,Oracle PLSQL Programming,SQL,8,https://images.gr-assets.com/books/1336418837s/13536860.jpg,671867156,128
75,Steven Feuerstein,Oracle PLSQL Programming,SQL,8,https://images.gr-assets.com/books/1167352178s/22628.jpg,,128
74,Steven Feuerstein,Oracle PLSQL Programming,SQL,8,"https://images-na.ssl-images-amazon.com/images/I/51WR9JB71iL._SX258_BO1,204,203,200_.jpg",,128
73,Steven Feuerstein,Oracle PLSQL Programming,SQL,8,https://files.realpython.com/media/python-cookbook-cover.449eb0e173ad.jpg,,128
72,Steven Feuerstein,Oracle PLSQL Programming,SQL,8,https://images.gr-assets.com/books/1344922523s/1953.jpg,,128
71,Steven Feuerstein,Oracle PLSQL Programming,SQL,8,https://images.gr-assets.com/books/1487389574s/5129.jpg,,128
170,Mike Murach,Murachs PHP and MySQL (Murach: Training & Reference),SQL,6,https://images.gr-assets.com/books/1381512375s/18490.jpg,671047612,174
170,Mike Murach,Murachs PHP and MySQL (Murach: Training & Reference),SQL,6,"https://images-na.ssl-images-amazon.com/images/I/41okhLUZZOL._SX258_BO1,204,203,200_.jpg",,174
169,Mike Murach,Murachs PHP and MySQL (Murach: Training & Reference),SQL,6,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,174
168,Stevenholz,PHP The Complete Reference,SQL,6,https://images.gr-assets.com/books/1325667729s/11735983.jpg,486284735,108
168,Mike Murach,Murachs PHP and MySQL (Murach: Training & Reference),SQL,6,https://images.gr-assets.com/books/1405973850s/2956.jpg,,174
167,Mike Murach,Murachs PHP and MySQL (Murach: Training & Reference),SQL,6,"https://images-na.ssl-images-amazon.com/images/I/51ERP9jmjJL._SX258_BO1,204,203,200_.jpg",,174
